row_id,label
1,A1
2,ok
3,ok
4,ok
5,ok
6,ok
7,A1
8,ok
9,ok
10,A3
11,ok
12,A1
13,ok
14,ok
15,A1
16,A1
17,ok
18,ok
19,A3
20,A1
21,A3
22,A3
23,A1
24,ok
25,ok
26,A3
27,A3
28,A2
29,ok
30,A1
31,A3
32,ok
33,A1
34,ok
35,ok
36,A1
37,ok
38,ok
39,ok
40,ok
41,A1
42,ok
43,A3
44,A1
45,ok
46,ok
47,ok
48,ok
49,A1
50,ok
51,ok
52,A1
53,ok
54,ok
55,A1
56,ok
57,ok
58,ok
59,ok
60,ok
61,A1
62,ok
63,A1
64,A1
65,ok
66,ok
67,A1
68,ok
69,ok
70,A1
71,A1
72,A1
73,A1
74,A1
75,A1
76,A1
77,A1
78,A2
79,A1
80,A3
81,ok
82,ok
83,A1
84,ok
85,A1
86,ok
87,A1
88,A3
89,A1
90,A3
91,A1
92,A1
93,A1
94,A1
95,A1
96,A1
97,ok
98,ok
99,A2
100,ok
101,ok
102,A1
103,ok
104,A1
105,A1
106,ok
107,A1
108,A1
109,ok
110,ok
111,ok
112,A1
113,ok
114,ok
115,A1
116,A1
117,A1
118,A1
119,ok
120,ok
121,ok
122,ok
123,A1
124,ok
125,A1
126,A1
127,A1
128,ok
129,ok
130,ok
131,ok
132,ok
133,A3
134,A1
135,ok
136,ok
137,A1
138,ok
139,ok
140,A1
141,ok
142,ok
143,A2
144,ok
145,A1
146,A2
147,ok
148,ok
149,A2
150,A1
151,ok
152,ok
153,ok
154,ok
155,A3
156,A1
157,ok
158,A2
159,A1
160,ok
161,ok
162,A2
163,A1
164,ok
165,A1
166,ok
167,A2
168,ok
169,A2
170,ok
171,ok
172,ok
173,A1
174,ok
175,ok
176,ok
177,A1
178,A1
179,ok
180,A1
181,A1
182,A1
183,A1
184,A1
185,A3
186,ok
187,A1
188,ok
189,ok
190,ok
191,A1
192,A1
193,A1
194,ok
195,ok
196,A1
197,ok
198,ok
199,ok
200,A1
201,A3
202,ok
203,A1
204,ok
205,ok
206,A1
207,ok
208,ok
209,A3
210,A1
211,A1
212,ok
213,A1
214,ok
215,A1
216,A3
217,A1
218,A3
219,A1
220,A1
221,A1
222,A1
223,ok
224,A1
225,ok
226,A1
227,A1
228,A1
229,A1
230,ok
231,ok
232,ok
233,A2
234,ok
235,A1
236,A1
237,A1
238,ok
239,ok
240,ok
241,ok
242,A1
243,ok
244,ok
245,ok
246,ok
247,ok
248,ok
249,A1
250,ok
251,A1
252,A1
253,ok
254,A1
255,ok
256,A1
257,ok
258,A1
259,ok
260,A3
261,ok
262,ok
263,A1
264,ok
265,ok
266,A1
267,A3
268,ok
269,A1
270,ok
271,A1
272,ok
273,A1
274,ok
275,A2
276,A1
277,A1
278,A3
279,ok
280,ok
281,ok
282,A1
283,A1
284,A1
285,ok
286,A1
287,ok
288,A3
289,A1
290,A1
291,A1
292,A1
293,A2
294,A1
295,ok
296,ok
297,A1
298,A3
299,A1
300,A1
301,A1
302,A1
303,ok
304,ok
305,ok
306,A1
307,A2
308,A1
309,ok
310,ok
311,A1
312,A1
313,A3
314,A1
315,ok
316,A1
317,A1
318,ok
319,A1
320,A1
321,ok
322,A3
323,ok
324,A3
325,ok
326,ok
327,ok
328,A1
329,A1
330,A1
331,ok
332,ok
333,ok
334,ok
335,ok
336,ok
337,A1
338,A1
339,A1
340,ok
341,ok
342,A1
343,ok
344,A1
345,ok
346,ok
347,A3
348,A2
349,ok
350,A1
351,A1
352,ok
353,A2
354,A3
355,A1
356,ok
357,A3
358,A1
359,ok
360,ok
361,ok
362,A1
363,A1
364,ok
365,ok
366,ok
367,A1
368,A1
369,ok
370,A1
371,ok
372,A1
373,A2
374,ok
375,A1
376,ok
377,A1
378,ok
379,ok
380,ok
381,ok
382,A3
383,ok
384,A1
385,A1
386,ok
387,A1
388,ok
389,A2
390,ok
391,ok
392,A1
393,A1
394,A1
395,A1
396,A1
397,A1
398,A1
399,ok
400,ok
401,ok
402,A3
403,A3
404,ok
405,A3
406,A1
407,A1
408,A1
409,A1
410,ok
411,ok
412,ok
413,A1
414,ok
415,A1
416,A1
417,ok
418,ok
419,ok
420,A3
421,ok
422,A1
423,A1
424,ok
425,A1
426,ok
427,ok
428,ok
429,A1
430,A2
431,A1
432,ok
433,ok
434,A1
435,ok
436,ok
437,A1
438,A1
439,ok
440,ok
441,ok
442,A3
443,A1
444,ok
445,A1
446,A1
447,ok
448,A1
449,A3
450,A1
451,ok
452,ok
453,A1
454,ok
455,A1
456,ok
457,A3
458,A1
459,A1
460,A1
461,ok
462,ok
463,ok
464,ok
465,A1
466,ok
467,ok
468,A1
469,A2
470,ok
471,A1
472,A1
473,ok
474,A1
475,A1
476,A1
477,A1
478,A1
479,A1
480,ok
481,ok
482,ok
483,ok
484,ok
485,A1
486,ok
487,A3
488,A1
489,A3
490,A1
491,ok
492,A1
493,ok
494,A1
495,ok
496,ok
497,A1
498,ok
499,A1
500,ok
