station_id,tram_id,station_name,tram_name,station_latitude,station_longitude,tram_latitude,tram_longitude,tram_line,distance_km,distance_m,walkable_5min,walkable_10min,last_updated,data_version
BK011,TR0137,Comédie,Corum,43.6091864,3.8815041,43.6142561,3.881957,41131,0.5649028995060383,564.9028995060384,False,True,2025-12-16 10:11:13,1.0
BK011,TR0139,Comédie,Louis Blanc - Agora de la Danse,43.6091864,3.8815041,43.6147274,3.8782032,41129,0.6709995389970012,670.9995389970012,False,True,2025-12-16 10:11:13,1.0
BK011,TR0113,Comédie,Comédie,43.6091864,3.8815041,43.6084079,3.8797702,41133,0.1642615551241499,164.2615551241499,True,True,2025-12-16 10:11:13,1.0
BK011,TR0114,Comédie,Gare Saint-Roch,43.6091864,3.8815041,43.6056584,3.8801992,41135,0.4061208871206937,406.12088712069374,False,True,2025-12-16 10:11:13,1.0
BK011,TR0137,Comédie,Corum,43.6091864,3.8815041,43.6144182,3.8818054,42141,0.582255123239688,582.255123239688,False,True,2025-12-16 10:11:13,1.0
BK011,TR0135,Comédie,Beaux-Arts,43.6091864,3.8815041,43.6170502,3.8835972,42143,0.8905033007110563,890.5033007110563,False,False,2025-12-16 10:11:13,1.0
BK011,TR0168,Comédie,Place Carnot,43.6091864,3.8815041,43.6036345,3.8842954,42129,0.6569795234618288,656.9795234618288,False,True,2025-12-16 10:11:13,1.0
BK011,TR0153,Comédie,Voltaire,43.6091864,3.8815041,43.6037049,3.8892253,42131,0.870626770087026,870.6267700870261,False,False,2025-12-16 10:11:13,1.0
BK011,TR0142,Comédie,Les Aubes,43.6091864,3.8815041,43.6139508,3.8883314,42231,0.7634049039989436,763.4049039989436,False,True,2025-12-16 10:11:13,1.0
BK011,TR0145,Comédie,Antigone,43.6091864,3.8815041,43.6086092,3.8866898,41139,0.4224171057641732,422.4171057641733,False,True,2025-12-16 10:11:13,1.0
BK011,TR0147,Comédie,Léon Blum,43.6091864,3.8815041,43.6088993,3.8902941,41141,0.7084213259267248,708.4213259267248,False,True,2025-12-16 10:11:13,1.0
BK011,TR0088,Comédie,Rondelet,43.6091864,3.8815041,43.6030665,3.8761818,42125,0.8041897384817052,804.1897384817051,False,False,2025-12-16 10:11:13,1.0
BK011,TR0107,Comédie,Gare Saint-Roch République,43.6091864,3.8815041,43.6051723,3.8797962,43231,0.4670496724449691,467.04967244496913,False,True,2025-12-16 10:11:13,1.0
BK011,TR0098,Comédie,Observatoire,43.6091864,3.8815041,43.606427,3.8766896,43233,0.4943736116820851,494.3736116820851,False,True,2025-12-16 10:11:13,1.0
BK011,TR0088,Comédie,Rondelet,43.6091864,3.8815041,43.6031345,3.8759259,42245,0.8090554013607097,809.0554013607098,False,False,2025-12-16 10:11:13,1.0
BK011,TR0098,Comédie,Observatoire,43.6091864,3.8815041,43.6063438,3.8768143,43125,0.4924280338660476,492.4280338660476,False,True,2025-12-16 10:11:13,1.0
BK011,TR0102,Comédie,Gambetta,43.6091864,3.8815041,43.6055891,3.8739545,43123,0.7276566507073349,727.6566507073348,False,True,2025-12-16 10:11:13,1.0
BK011,TR0103,Comédie,Gambetta - Chaptal,43.6091864,3.8815041,43.6062372,3.8727299,43235,0.7788497176049713,778.8497176049714,False,True,2025-12-16 10:11:13,1.0
BK011,TR0107,Comédie,Gare Saint-Roch République,43.6091864,3.8815041,43.6052424,3.8797132,43127,0.4616495790040384,461.64957900403846,False,True,2025-12-16 10:11:13,1.0
BK011,TR0113,Comédie,Comédie,43.6091864,3.8815041,43.6083781,3.8798137,41223,0.1630979969413739,163.09799694137396,True,True,2025-12-16 10:11:13,1.0
BK011,TR0114,Comédie,Gare Saint-Roch,43.6091864,3.8815041,43.6056635,3.8802526,41221,0.4044806717376042,404.4806717376042,False,True,2025-12-16 10:11:13,1.0
BK011,TR0135,Comédie,Beaux-Arts,43.6091864,3.8815041,43.6169338,3.8834353,42227,0.8753888505561399,875.3888505561399,False,False,2025-12-16 10:11:13,1.0
BK011,TR0137,Comédie,Corum,43.6091864,3.8815041,43.6141886,3.881667,41225,0.5563738552213491,556.3738552213491,False,True,2025-12-16 10:11:13,1.0
BK011,TR0137,Comédie,Corum,43.6091864,3.8815041,43.6144479,3.8821386,42229,0.5872779568476997,587.2779568476997,False,True,2025-12-16 10:11:13,1.0
BK011,TR0139,Comédie,Louis Blanc - Agora de la Danse,43.6091864,3.8815041,43.6147682,3.8780174,41227,0.6811941924775423,681.1941924775423,False,True,2025-12-16 10:11:13,1.0
BK011,TR0142,Comédie,Les Aubes,43.6091864,3.8815041,43.61399,3.8881044,42139,0.7534373043184409,753.437304318441,False,True,2025-12-16 10:11:13,1.0
BK011,TR0146,Comédie,Du Guesclin,43.6091864,3.8815041,43.6071804,3.8833017,41138,0.2658973578423594,265.89735784235944,True,True,2025-12-16 10:11:13,1.0
BK011,TR0145,Comédie,Antigone,43.6091864,3.8815041,43.6084999,3.8866241,41217,0.419231782975197,419.23178297519695,False,True,2025-12-16 10:11:13,1.0
BK011,TR0146,Comédie,Du Guesclin,43.6091864,3.8815041,43.6070636,3.8831972,41218,0.2725792000986892,272.5792000986892,True,True,2025-12-16 10:11:13,1.0
BK011,TR0147,Comédie,Léon Blum,43.6091864,3.8815041,43.6089494,3.8900989,41215,0.6924870246993557,692.4870246993557,False,True,2025-12-16 10:11:13,1.0
BK011,TR0168,Comédie,Place Carnot,43.6091864,3.8815041,43.6037618,3.8842324,42241,0.641943104815094,641.943104815094,False,True,2025-12-16 10:11:13,1.0
BK011,TR0153,Comédie,Voltaire,43.6091864,3.8815041,43.6037185,3.8889694,42239,0.8549597763578476,854.9597763578475,False,False,2025-12-16 10:11:13,1.0
BK011,TR0168,Comédie,Place Carnot,43.6091864,3.8815041,43.6037042,3.8842576,Unknown,0.6486556760785611,648.6556760785611,False,True,2025-12-16 10:11:13,1.0
BK011,TR0183,Comédie,Peyrou - Arc de Triomphe,43.6091864,3.8815041,43.6117993,3.8723484,44103,0.7923198000776653,792.3198000776654,False,True,2025-12-16 10:11:13,1.0
BK011,TR0182,Comédie,Saint-Guilhem - Courreau,43.6091864,3.8815041,43.6081132,3.8735064,44204,0.6548806289117671,654.8806289117671,False,True,2025-12-16 10:11:13,1.0
BK011,TR0182,Comédie,Saint-Guilhem - Courreau,43.6091864,3.8815041,43.6081284,3.8735437,44104,0.651620674266238,651.6206742662381,False,True,2025-12-16 10:11:13,1.0
BK011,TR0183,Comédie,Peyrou - Arc de Triomphe,43.6091864,3.8815041,43.611415,3.8722575,44203,0.7846094685624786,784.6094685624786,False,True,2025-12-16 10:11:13,1.0
BK011,TR0185,Comédie,Albert 1er - Jardin des Plantes,43.6091864,3.8815041,43.6148176,3.8737832,44102,0.8823029294908907,882.3029294908907,False,False,2025-12-16 10:11:13,1.0
BK011,TR0185,Comédie,Albert 1er - Jardin des Plantes,43.6091864,3.8815041,43.6148246,3.873733,44202,0.8857056428523213,885.7056428523214,False,False,2025-12-16 10:11:13,1.0
BK011,TR0214,Comédie,Parc Clemenceau,43.6091864,3.8815041,43.6033971,3.8721461,Unknown,0.9910170175006334,991.0170175006334,False,False,2025-12-16 10:11:13,1.0
BK011,TR0215,Comédie,Gambetta - Saint-Denis,43.6091864,3.8815041,43.6050726,3.8745319,Unknown,0.7241379297338217,724.1379297338217,False,True,2025-12-16 10:11:13,1.0
BK051,TR0137,Rue Jules Ferry - Gare Saint-Roch,Corum,43.6053253,3.8812294,43.6142561,3.881957,41131,0.994785944236098,994.785944236098,False,False,2025-12-16 10:11:13,1.0
BK051,TR0113,Rue Jules Ferry - Gare Saint-Roch,Comédie,43.6053253,3.8812294,43.6084079,3.8797702,41133,0.3623454743434094,362.3454743434095,True,True,2025-12-16 10:11:13,1.0
BK051,TR0114,Rue Jules Ferry - Gare Saint-Roch,Gare Saint-Roch,43.6053253,3.8812294,43.6056584,3.8801992,41135,0.0908424065609245,90.84240656092456,True,True,2025-12-16 10:11:13,1.0
BK051,TR0168,Rue Jules Ferry - Gare Saint-Roch,Place Carnot,43.6053253,3.8812294,43.6036345,3.8842954,42129,0.3103085864591212,310.3085864591212,True,True,2025-12-16 10:11:13,1.0
